lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
VEGF,IgG+ plasmablast / plasma cell,Stellate cell,2.37024476248139e-05,2.36301592453634e-05,1.76198522250488e-05,1.21225209029955e-05,all4,2,2,2,2,2.36663034350886e-05,1.48711865640221e-05,2.36301592453634e-05,2.37024476248139e-05,1.21225209029955e-05,1.76198522250488e-05,0.667089137012731,TRUE,TRUE,FALSE,TRUE,irHepatitis
VEGF,Hepatocyte 2,Sinusoidal endothelial cell,0.000236175191729451,0.000375990877196923,0.00022101976560249,0.000166176097423462,all4,2,2,2,2,0.000306083034463187,0.000193597931512976,0.000236175191729451,0.000375990877196923,0.000166176097423462,0.00022101976560249,0.660613420580311,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 1,Macrophage 2,9.82743457769247e-05,9.95005782052933e-05,5.42847996105573e-05,7.10996999145526e-05,all4,2,2,2,2,9.8887461991109e-05,6.2692249762555e-05,9.82743457769247e-05,9.95005782052933e-05,5.42847996105573e-05,7.10996999145526e-05,0.656744114246105,TRUE,TRUE,FALSE,TRUE,irHepatitis
VEGF,Stellate cell,CD4+ T cell,1.77249421448609e-05,1.51951886638721e-05,1.17134053226487e-05,9.15260956363905e-06,all4,2,2,2,2,1.64600654043665e-05,1.04330074431439e-05,1.51951886638721e-05,1.77249421448609e-05,9.15260956363905e-06,1.17134053226487e-05,0.653294551550008,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD8+ T cell 2,CD8+ T cell 1,0.000124789051265076,0.000218929452264175,0.000118163723569174,0.00010040298197891,all4,2,2,2,2,0.000171859251764626,0.000109283352774042,0.000124789051265076,0.000218929452264175,0.00010040298197891,0.000118163723569174,0.652722001991774,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 3,Macrophage 2,4.73823346690394e-05,5.14610919476411e-05,2.05027832526246e-05,4.24087187357812e-05,all4,2,2,2,2,4.94217133083402e-05,3.14557509942029e-05,4.73823346690394e-05,5.14610919476411e-05,2.05027832526246e-05,4.24087187357812e-05,0.65032574358838,TRUE,TRUE,FALSE,TRUE,irHepatitis
VEGF,Hepatocyte 2,Hepatocyte 1,3.25615079305854e-05,2.83693057259995e-05,2.67800146377639e-05,1.20860651973791e-05,all4,2,2,2,2,3.04654068282924e-05,1.94330399175715e-05,2.83693057259995e-05,3.25615079305854e-05,1.20860651973791e-05,2.67800146377639e-05,0.646252497916344,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,8.69125966929869e-06,4.00509560568076e-06,9.95589641492891e-06,9.96737623450381e-06,all4,2,2,2,2,6.34817763748972e-06,9.96163632471636e-06,4.00509560568076e-06,8.69125966929869e-06,9.95589641492891e-06,9.96737623450381e-06,-0.642713697921427,TRUE,FALSE,TRUE,TRUE,AIH
CSF,Sinusoidal endothelial cell,Hepatocyte 3,2.78503831387995e-05,1.45778818383112e-05,1.26024673451402e-05,1.45527846966886e-05,all4,2,2,2,2,2.12141324885554e-05,1.35776260209144e-05,1.45778818383112e-05,2.78503831387995e-05,1.26024673451402e-05,1.45527846966886e-05,0.640374200629445,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD8+ T cell 3,CD8+ T cell 3,0.000293230608002288,0.000446301170045027,0.000221830388683778,0.000254081147253541,all4,2,2,2,2,0.000369765889023658,0.000237955767968659,0.000293230608002288,0.000446301170045027,0.000221830388683778,0.000254081147253541,0.635724470637645,TRUE,TRUE,FALSE,TRUE,irHepatitis
