lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL3-CCR5,Macrophage 2,Stellate cell,,,5.404565816065e-07,,partial,0,1,0,1,,5.404565816065e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Vascular endothelial cell,,,6.50638385015612e-07,,partial,0,1,0,1,,6.50638385015612e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,CD4+ T cell,,,7.32771808647344e-07,,partial,0,1,0,1,,7.32771808647344e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,CD8+ T cell 1,,,2.91668176489254e-06,,partial,0,1,0,1,,2.91668176489254e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,CD8+ T cell 2,,,3.11242531930002e-06,,partial,0,1,0,1,,3.11242531930002e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,CD8+ T cell 3,,,1.87612281921592e-06,,partial,0,1,0,1,,1.87612281921592e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Cholangiocyte,,,1.91711573753811e-07,,partial,0,1,0,1,,1.91711573753811e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Hepatocyte 1,,,3.33113323407629e-07,,partial,0,1,0,1,,3.33113323407629e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Hepatocyte 2,,,2.1715949809029e-07,,partial,0,1,0,1,,2.1715949809029e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Hepatocyte 3,,,1.27146213759077e-07,,partial,0,1,0,1,,1.27146213759077e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Hepatocyte 4,,,9.21392551366805e-08,,partial,0,1,0,1,,9.21392551366805e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Ig+ hepatocyte,,,1.89858008086804e-07,,partial,0,1,0,1,,1.89858008086804e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,IgG+ B cell,,,3.28787575008062e-07,,partial,0,1,0,1,,3.28787575008062e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,IgG+ plasmablast / plasma cell,,,2.40530363449014e-07,,partial,0,1,0,1,,2.40530363449014e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
