lr_id,source,target,total_flow,mean_flow,n_source,n_target,sample_id,condition,kind
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,CD8+ T cell 3,3.83190512496512,1.6804390321296e-05,1382,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Cholangiocyte,0.813512403216285,1.50165466201063e-06,1382,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Hepatocyte 1,0.516128399493624,7.41737503889019e-08,1382,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,IgG+ plasmablast / plasma cell,3.25541663551177,1.60243787250646e-05,1382,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,IgM+ B cell,3.11384648015252,6.91148793016372e-06,1382,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Macrophage 1,5.10836625155538,2.18202930046601e-06,1382,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Sinusoidal endothelial cell,0.116988860512871,9.22133472319737e-08,1382,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Stellate cell,4.52060494936896,2.26370935726717e-06,1382,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,CD4+ T cell,0.0918165606793067,1.38529141212842e-07,918,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,CD8+ T cell 1,5.41857973879679,4.13057544300735e-06,918,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,CD8+ T cell 2,0.00943594930573783,8.86104472404199e-08,918,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,CD8+ T cell 3,1.26659860066095,8.36204265307291e-06,918,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Cholangiocyte,0.00609233229474446,1.69299172300711e-08,918,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Hepatocyte 1,0.0487727716191055,1.05520120851438e-08,918,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,IgG+ plasmablast / plasma cell,0.158537066092489,1.1748185651482e-06,918,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,IgM+ B cell,0.0109859745684084,3.67094863747825e-08,918,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Macrophage 1,1.24702969099503,8.01900910682475e-07,918,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Sinusoidal endothelial cell,2.93870046890496,3.48714462730973e-06,918,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Stellate cell,0.0304871340290828,2.29829658495472e-08,918,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,CD4+ T cell,4.44307412569814,4.25871438018015e-06,1445,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,CD8+ T cell 1,8.69386018615816,4.21029547904536e-06,1445,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,CD8+ T cell 2,1.34620001935009,8.03126130145622e-06,1445,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,CD8+ T cell 3,2.07145538489547,8.68807962627857e-06,1445,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Cholangiocyte,1.52732630039853,2.69636025068592e-06,1445,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Hepatocyte 1,1.2432214122758,1.70876035540256e-07,1445,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,IgG+ plasmablast / plasma cell,0.255186395972959,1.20135770060005e-06,1445,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,IgM+ B cell,0.533935389768162,1.13345233143304e-06,1445,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Macrophage 1,3.85986611168231,1.57685219630543e-06,1445,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Sinusoidal endothelial cell,0.0577405136026389,4.35281404607872e-08,1445,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Stellate cell,4.13324300751523,1.97949881228205e-06,1445,1445,18321_a,irHepatitis,pair
