source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
CD8+ T cell 3,Cholangiocyte,ICAM1,EGFR,0.487508904788451,1.52400174657039,-1.62450587201236,1.52400174657039,TRUE,AIH,0.158213898917664,0.816803910659237,1.93814786355617,1.10985562958461,1.62450587201236
Hepatocyte 2,CD4+ T cell,CCL16,CCR2,0.68527427651922,2.16306068269048,-1.64407434294797,2.16306068269048,TRUE,AIH,0,1.37054855303844,2.10666457311258,2.21945679226839,1.64407434294797
Hepatocyte 3,IgM+ B cell,FN1,CD44,0.347835814614547,1.11152417984377,-1.64809103063488,1.11152417984377,TRUE,AIH,0.413726125174527,0.281945504054567,0.680378365512052,1.54266999417548,1.64809103063488
Sinusoidal endothelial cell,CD4+ T cell,TGFB1,SMAD3,0.412416893103788,1.31597480620938,-1.65031392764715,1.31597480620938,TRUE,AIH,0.251676328551874,0.573157457655702,1.41664776911541,1.21530184330336,1.65031392764715
Cholangiocyte,CD8+ T cell 2,VEGFA,EGFR,0.702398834666366,2.23787883321352,-1.65780721085527,2.23787883321352,TRUE,AIH,0.4371364178826,0.967661251450131,2.10666457311258,2.36909309331445,1.65780721085527
Sinusoidal endothelial cell,CD4+ T cell,CXCL12,CD4,0.552517206081516,1.76701192332552,-1.6594842307646,1.76701192332552,TRUE,AIH,0.704222436805792,0.400811975357239,1.95794592569298,1.57607792095806,1.6594842307646
Vascular endothelial cell,CD8+ T cell 2,TGFB1,SMAD3,0.29771310196857,0.999977650136587,-1.7146655899226,0.999977650136587,TRUE,AIH,0.323970925161031,0.271455278776109,0.899371861266761,1.10058343900641,1.7146655899226
Sinusoidal endothelial cell,IgM+ B cell,TGFB1,SMAD3,0.268588883984972,0.914168577857684,-1.73001834416006,0.914168577857684,TRUE,AIH,0.196612271055722,0.340565496914223,1.03393342745705,0.794403728258321,1.73001834416006
CD4+ T cell,Hepatocyte 2,ANXA1,EGFR,0.299982449788813,1.02462029869354,-1.73884295966986,1.02462029869354,TRUE,AIH,0.317142918252021,0.282821981325606,0.954343505092018,1.09489709229505,1.73884295966986
Vascular endothelial cell,CD8+ T cell 2,TGFB1,EGFR,0.300621506178967,1.10470236255747,-1.84342892189642,1.10470236255747,TRUE,AIH,0.294621419925805,0.306621592432129,1.05769156827777,1.15171315683717,1.84342892189642
Cholangiocyte,CD8+ T cell 3,TGFB1,SMAD3,0.112329069281698,0.433010632386502,-1.85657404942331,0.433010632386502,TRUE,AIH,0.224658138563397,0,0.507031229951751,0.358990034821254,1.85657404942331
Hepatocyte 2,CD4+ T cell,HLA-B,CD8A,0.145179725559958,0.580375195869326,-1.92769202923218,0.580375195869326,TRUE,AIH,0.290359451119916,0,0.525414913706332,0.635335478032321,1.92769202923218
CD8+ T cell 2,Cholangiocyte,CEACAM1,EGFR,0.521115408703518,2.03905860858439,-1.94786395932202,2.03905860858439,TRUE,AIH,0,1.04223081740704,2.10666457311258,1.97145264405621,1.94786395932202
Cholangiocyte,CD8+ T cell 2,TGFB1,SMAD3,0.0781058095033813,0.361016063511994,-2.07417259559076,0.361016063511994,TRUE,AIH,0.156211619006763,0,0.303040099776568,0.418992027247419,2.07417259559076
CD8+ T cell 3,Cholangiocyte,C1QB,C1QBP,0.295540149838881,1.31236643891862,-2.11368813869925,1.31236643891862,TRUE,AIH,0.0937425483435902,0.497337751334172,1.4875446742171,1.13718820362014,2.11368813869925
Hepatocyte 3,CD4+ T cell,CCL16,CCR2,0.138128504423516,0.641528957115584,-2.13698001491489,0.641528957115584,TRUE,AIH,0,0.276257008847033,0.413822626921004,0.869235287310163,2.13698001491489
Cholangiocyte,CD8+ T cell 2,CEACAM1,HAVCR2,0.141927607790584,0.661376329083164,-2.14373761688843,0.661376329083164,TRUE,AIH,0.198652170134357,0.0852030454468104,0.537601063246789,0.785151594919538,2.14373761688843
Cholangiocyte,CD8+ T cell 2,VCAN,EGFR,0.175850405841952,0.832804804491886,-2.18105669978445,0.832804804491886,TRUE,AIH,0,0.351700811683905,0.627180415366089,1.03842919361768,2.18105669978445
Hepatocyte 2,CD4+ T cell,CCL16,CCR1,0.40219045404508,1.98920256373669,-2.27804165774565,1.98920256373669,TRUE,AIH,0.804380908090161,0,2.10666457311258,1.87174055436081,2.27804165774565
Sinusoidal endothelial cell,IgM+ B cell,CEACAM1,HAVCR2,0.107079995223627,0.558633354506424,-2.28000413411313,0.558633354506424,TRUE,AIH,0.214159990447254,0,0.538071129794682,0.579195579218166,2.28000413411313
Vascular endothelial cell,CD8+ T cell 2,DCN,MET,0.273265173643507,1.37701510181013,-2.29175835183863,1.37701510181013,TRUE,AIH,0.545323874629029,0.00120647265798548,1.4962976820091,1.25773252161117,2.29175835183863
IgM+ B cell,Ig+ hepatocyte,C1QB,C1QBP,0.127058778462685,0.671721035636912,-2.31438676634651,0.671721035636912,TRUE,AIH,0.25411755692537,0,0.744564489037914,0.59887758223591,2.31438676634651
Cholangiocyte,CD8+ T cell 3,SPON2,ITGAM,0.145667270800062,0.764688152867896,-2.31515002881057,0.764688152867896,TRUE,AIH,0.291334541600124,0,0.604458560639911,0.924917745095881,2.31515002881057
CD8+ T cell 2,Cholangiocyte,FN1,SDC1,0.24381204350757,1.28207436513287,-2.3478566739908,1.28207436513287,TRUE,AIH,0.136548792414306,0.351075294600833,1.75361398992717,0.810534740338567,2.3478566739908
Ig+ hepatocyte,IgM+ B cell,CXCL9,FCGR2A,0.286516179502126,1.50731553643555,-2.35533840220596,1.50731553643555,TRUE,AIH,0.573032359004253,0,2.10666457311258,0.907966499758514,2.35533840220596
CD8+ T cell 2,Cholangiocyte,FADD,FAS,0.094919327235012,0.547066057651129,-2.40856795257194,0.547066057651129,TRUE,AIH,0.0666873656044352,0.123151288865589,0.72449385818631,0.369638257115948,2.40856795257194
Cholangiocyte,CD8+ T cell 3,FADD,FAS,0.102238458635356,0.611547348277562,-2.46929719543419,0.611547348277562,TRUE,AIH,0,0.204476917270712,0.790017393481542,0.433077303073583,2.46929719543419
CD4+ T cell,Hepatocyte 1,ICAM1,EGFR,0.275858807359918,1.62525533345092,-2.5161412740915,1.62525533345092,TRUE,AIH,0.551717614719836,0,1.40400247185605,1.84650819504579,2.5161412740915
Vascular endothelial cell,CD8+ T cell 2,DCN,EGFR,0.172850158358751,1.06702786352243,-2.55832179272347,1.06702786352243,TRUE,AIH,0.345700316717503,0,1.06666831694236,1.06738741010251,2.55832179272347
CD8+ T cell 2,Cholangiocyte,ANXA1,EGFR,0.0718050041100854,0.474030124579836,-2.56483583693365,0.474030124579836,TRUE,AIH,0,0.143610008220171,0.650281552289952,0.29777869686972,2.56483583693365
Sinusoidal endothelial cell,CD4+ T cell,CEACAM1,HAVCR2,0.127527967573187,0.829339690510687,-2.60952977053148,0.829339690510687,TRUE,AIH,0.255055935146375,0,0.795832660865678,0.862846720155695,2.60952977053148
