source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Stellate cell,CD4+ T cell,CCL_CCR2,AIH,-6.36036615253831,0.00100286648697995,0.00289071096690355
Hepatocyte 2,Hepatocyte 2,CEACAM,AIH,-6.35146930426403,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,IgG+ plasmablast / plasma cell,CCL_CCR1,AIH,-6.34907718110513,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,IgM+ B cell,CCL_CCR1,AIH,-6.34245574920514,0.00100286648697995,0.00289071096690355
IgG+ B cell,Macrophage 2,CXCL_CXCR4,AIH,-6.3172103745164,0.0099009900990099,0.010590318772137
Hepatocyte 2,Stellate cell,CCL_CCR1,AIH,-6.31061691226153,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Macrophage 2,CXCL_CXCR4,AIH,-6.2731082554772,0.0099009900990099,0.010590318772137
Cholangiocyte,Sinusoidal endothelial cell,CSF,AIH,-6.24355829696871,0.00100286648697995,0.00289071096690355
Hepatocyte 3,Vascular endothelial cell,VEGF,AIH,-6.24328629712186,0.0099009900990099,0.010590318772137
Vascular endothelial cell,Sinusoidal endothelial cell,VEGF,AIH,-6.23023141260415,0.00100286648697995,0.00289071096690355
IgM+ B cell,IgM+ B cell,CCL_CCR2,AIH,-6.22693015032669,0.0099009900990099,0.010590318772137
Sinusoidal endothelial cell,Vascular endothelial cell,VEGF,AIH,-6.22211049025585,0.00100286648697995,0.00289071096690355
Cholangiocyte,Cholangiocyte,CXCL_CXCR2,AIH,-6.18638358529845,0.0099009900990099,0.010590318772137
Hepatocyte 4,Stellate cell,CCL_CCR1,AIH,-6.18512001314747,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,Macrophage 2,CXCL_CXCR4,AIH,-6.18495150916582,0.0099009900990099,0.010590318772137
Hepatocyte 4,Stellate cell,CSF,AIH,-6.18366944123294,0.0099009900990099,0.010590318772137
Hepatocyte 1,CD8+ T cell 2,CEACAM,AIH,-6.16280045431787,0.00100286648697995,0.00289071096690355
Hepatocyte 1,CD4+ T cell,FN1,AIH,-6.15317881639886,0.0099009900990099,0.010590318772137
IgM+ B cell,IgG+ plasmablast / plasma cell,CCL_CCR2,AIH,-6.11541275736213,0.0099009900990099,0.010590318772137
Hepatocyte 2,CD8+ T cell 3,VEGF,AIH,-6.10150558450681,0.00100286648697995,0.00289071096690355
Hepatocyte 2,CD4+ T cell,CCL_CCR1,AIH,-6.09608915716358,0.00100286648697995,0.00289071096690355
CD8+ T cell 1,Macrophage 2,CCL_CCR1,AIH,-6.09457200482708,0.0099009900990099,0.010590318772137
Hepatocyte 2,CD8+ T cell 1,CXCL_CXCR6,AIH,-6.08982039060355,0.0099009900990099,0.010590318772137
CD8+ T cell 1,CD8+ T cell 1,CCL_CCR1,AIH,-6.07333118689171,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Vascular endothelial cell,VEGF,AIH,-6.0690219798749,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Ig+ hepatocyte,CEACAM,AIH,-6.06477111596436,0.00100286648697995,0.00289071096690355
Stellate cell,CD8+ T cell 1,VEGF,AIH,-6.054475207727,0.0099009900990099,0.010590318772137
Sinusoidal endothelial cell,Sinusoidal endothelial cell,IL2,AIH,-6.04626124691013,0.00100286648697995,0.00289071096690355
