sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,16145.9170014954,-9012.21958007812,79,60,8,0.133333333333333
56784_c,16145.9170014954,-8912.21958007813,70,68,11,0.161764705882353
56784_c,16145.9170014954,-8862.21958007813,106,54,8,0.148148148148148
56784_c,16145.9170014954,-8612.21958007813,100,36,8,0.222222222222222
56784_c,16145.9170014954,-8562.21958007813,68,46,11,0.239130434782609
56784_c,16145.9170014954,-8512.21958007812,96,54,16,0.296296296296296
56784_c,16145.9170014954,-8462.21958007813,131,51,17,0.333333333333333
56784_c,16145.9170014954,-8412.21958007813,159,33,13,0.393939393939394
56784_c,16195.9170014954,-9062.21958007812,94,34,5,0.147058823529412
56784_c,16195.9170014954,-9012.21958007812,85,44,5,0.113636363636364
56784_c,16195.9170014954,-8962.21958007813,66,53,8,0.150943396226415
56784_c,16195.9170014954,-8912.21958007813,77,53,8,0.150943396226415
56784_c,16195.9170014954,-8862.21958007813,105,49,9,0.183673469387755
56784_c,16195.9170014954,-8662.21958007813,108,33,9,0.272727272727273
56784_c,16195.9170014954,-8612.21958007813,69,41,8,0.195121951219512
56784_c,16195.9170014954,-8512.21958007812,76,58,16,0.275862068965517
56784_c,16195.9170014954,-8462.21958007813,117,55,17,0.309090909090909
56784_c,16195.9170014954,-8412.21958007813,158,32,12,0.375
56784_c,16245.9170014954,-9012.21958007812,106,35,11,0.314285714285714
56784_c,16245.9170014954,-8962.21958007813,80,48,17,0.354166666666667
56784_c,16245.9170014954,-8912.21958007813,86,51,19,0.372549019607843
56784_c,16245.9170014954,-8862.21958007813,107,49,17,0.346938775510204
56784_c,16245.9170014954,-8762.21958007812,148,34,17,0.5
56784_c,16245.9170014954,-8712.21958007813,140,32,11,0.34375
56784_c,16245.9170014954,-8662.21958007813,110,49,13,0.26530612244898
56784_c,16245.9170014954,-8612.21958007813,73,56,11,0.196428571428571
56784_c,16245.9170014954,-8512.21958007812,81,52,10,0.192307692307692
56784_c,16245.9170014954,-8462.21958007813,120,40,10,0.25
56784_c,16295.9170014954,-8962.21958007813,107,38,16,0.421052631578947
56784_c,16295.9170014954,-8912.21958007813,107,42,19,0.452380952380952
56784_c,16295.9170014954,-8862.21958007813,118,40,17,0.425
56784_c,16295.9170014954,-8762.21958007812,145,30,15,0.5
56784_c,16295.9170014954,-8712.21958007813,137,39,14,0.358974358974359
56784_c,16295.9170014954,-8662.21958007813,113,58,18,0.310344827586207
56784_c,16295.9170014954,-8612.21958007813,86,57,16,0.280701754385965
56784_c,16295.9170014954,-8562.21958007813,74,58,16,0.275862068965517
56784_c,16295.9170014954,-8512.21958007812,98,47,12,0.25531914893617
56784_c,16345.9170014954,-8912.21958007813,138,31,18,0.580645161290323
56784_c,16345.9170014954,-8862.21958007813,151,30,17,0.566666666666667
