sample,x0,y0,n_hep,n_cd4,n_chol,score
54023_b,1843.95310974121,-10083.6330566406,68,20,17,36.8781778291716
54023_b,1843.95310974121,-10033.6330566406,79,29,33,47.8643917750973
54023_b,1843.95310974121,-9983.63305664063,88,35,37,55.4977477020464
54023_b,1843.95310974121,-9933.63305664063,90,42,35,61.4817045957576
54023_b,1843.95310974121,-9883.63305664063,94,38,26,59.7662111899357
54023_b,1843.95310974121,-9833.63305664063,85,34,22,53.7587202228625
54023_b,1843.95310974121,-9783.63305664062,61,21,6,35.7910603363466
54023_b,1843.95310974121,-9733.63305664063,44,11,2,22
54023_b,1893.95310974121,-10833.6330566406,52,11,0,23.9165214862028
54023_b,1893.95310974121,-10783.6330566406,85,11,0,30.5777697028413
54023_b,1893.95310974121,-10733.6330566406,128,14,0,42.3320209770335
54023_b,1893.95310974121,-10683.6330566406,160,9,0,37.9473319220206
54023_b,1893.95310974121,-10633.6330566406,183,6,0,33.1360830515618
54023_b,1893.95310974121,-10383.6330566406,97,9,0,29.5465734053883
54023_b,1893.95310974121,-10333.6330566406,62,11,0,26.1151297144012
54023_b,1893.95310974121,-10283.6330566406,50,15,4,27.3861278752583
54023_b,1893.95310974121,-10233.6330566406,39,18,5,26.4952825989835
54023_b,1893.95310974121,-10183.6330566406,45,26,13,34.2052627529741
54023_b,1893.95310974121,-10133.6330566406,50,30,22,38.7298334620742
54023_b,1893.95310974121,-10083.6330566406,62,32,28,44.5421149026402
54023_b,1893.95310974121,-10033.6330566406,81,36,35,54
54023_b,1893.95310974121,-9983.63305664063,95,37,37,59.2874354311266
54023_b,1893.95310974121,-9933.63305664063,97,31,30,54.8361194834208
54023_b,1893.95310974121,-9883.63305664063,106,25,21,51.478150704935
54023_b,1893.95310974121,-9833.63305664063,98,23,16,47.4763098818769
54023_b,1893.95310974121,-9783.63305664062,70,15,5,32.4037034920393
54023_b,1893.95310974121,-9733.63305664063,50,9,2,21.2132034355964
54023_b,1893.95310974121,-9683.63305664063,35,6,1,14.4913767461894
