sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
56784_c,16850,-9250,23,16,74,6,4,10
56784_c,18600,-9050,42,16,79,6,4,10
56784_c,13550,-10150,66,15,61,6,4,10
56784_c,18600,-9000,38,15,65,6,4,10
56784_c,16050,-8600,27,14,43,5,5,10
56784_c,13600,-9700,30,13,87,4,6,10
54023_b,5900,-9050,105,12,115,7,3,10
54023_b,5950,-9050,99,11,106,7,3,10
54023_b,4550,-10000,38,10,48,4,6,10
54023_b,5400,-9000,79,10,95,7,3,10
56784_c,13550,-9750,38,10,88,6,4,10
54023_b,3150,-9900,225,9,101,7,3,10
54023_b,3200,-9900,188,9,114,7,3,10
54023_b,5400,-9050,78,9,89,7,3,10
54023_b,6400,-9050,89,9,122,7,3,10
54023_b,6400,-8950,49,9,100,7,3,10
54023_b,6400,-8900,38,9,95,7,3,10
54023_b,6500,-8900,44,9,107,7,3,10
54023_b,6550,-8900,37,9,129,7,3,10
56784_c,13600,-9750,38,9,79,5,5,10
54023_b,1700,-9850,21,8,36,6,4,10
54023_b,1750,-9850,22,8,45,6,4,10
54023_b,6550,-8750,90,8,102,7,3,10
54023_b,2100,-10300,68,7,124,7,3,10
54023_b,6400,-9000,72,7,102,7,3,10
54023_b,6550,-8700,86,7,82,7,3,10
54023_b,2200,-10450,93,6,108,8,2,10
56784_c,15000,-9200,33,6,30,6,4,10
56784_c,15000,-9150,61,6,40,6,4,10
56784_c,15000,-9100,81,6,45,6,4,10
54023_b,2250,-10450,82,5,92,8,2,10
54023_b,5500,-9400,20,43,74,5,4,9
54023_b,5450,-9400,20,35,72,5,4,9
54023_b,1450,-10350,31,34,86,5,4,9
54023_b,1250,-10700,56,32,94,6,3,9
54023_b,1400,-10350,33,31,115,5,4,9
54023_b,5100,-9200,23,31,55,5,4,9
