sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac
18321_a,1498.78463745117,-2474.14233398438,145,72,12,12,0.166666666666667,0.0827586206896552
18321_a,1498.78463745117,-2424.14233398438,125,94,11,11,0.117021276595745,0.088
18321_a,1498.78463745117,-2374.14233398438,87,126,9,10,0.0793650793650794,0.103448275862069
18321_a,1498.78463745117,-2324.14233398438,61,133,6,5,0.037593984962406,0.0983606557377049
18321_a,1498.78463745117,-2224.14233398438,60,90,10,4,0.0444444444444444,0.166666666666667
18321_a,1498.78463745117,-2174.14233398438,68,64,10,4,0.0625,0.147058823529412
18321_a,1498.78463745117,-2124.14233398438,67,30,9,3,0.1,0.134328358208955
18321_a,1548.78463745117,-2374.14233398438,129,46,12,9,0.195652173913043,0.0930232558139535
18321_a,1548.78463745117,-2324.14233398438,100,59,9,6,0.101694915254237,0.09
18321_a,1548.78463745117,-2274.14233398438,95,66,9,6,0.0909090909090909,0.0947368421052632
18321_a,1548.78463745117,-2224.14233398438,99,55,13,5,0.0909090909090909,0.131313131313131
18321_a,1548.78463745117,-2174.14233398438,105,45,13,5,0.111111111111111,0.123809523809524
18321_a,1598.78463745117,-2274.14233398438,128,33,8,4,0.121212121212121,0.0625
18321_a,1598.78463745117,-2224.14233398438,127,33,12,4,0.121212121212121,0.0944881889763779
18321_a,1598.78463745117,-2174.14233398438,137,32,12,4,0.125,0.0875912408759124
18321_a,2148.78463745117,-2274.14233398438,163,31,19,11,0.354838709677419,0.116564417177914
18321_a,2148.78463745117,-2224.14233398438,156,31,19,11,0.354838709677419,0.121794871794872
18321_a,2198.78463745117,-2374.14233398438,116,45,10,7,0.155555555555556,0.0862068965517242
18321_a,2198.78463745117,-2324.14233398438,148,54,20,16,0.296296296296296,0.135135135135135
18321_a,2198.78463745117,-2274.14233398438,158,55,26,17,0.309090909090909,0.164556962025316
18321_a,2198.78463745117,-2224.14233398438,163,55,26,17,0.309090909090909,0.159509202453988
18321_a,2198.78463745117,-2174.14233398438,166,48,18,12,0.25,0.108433734939759
18321_a,2248.78463745117,-2374.14233398438,79,59,15,9,0.152542372881356,0.189873417721519
18321_a,2248.78463745117,-2324.14233398438,111,79,25,18,0.227848101265823,0.225225225225225
18321_a,2248.78463745117,-2274.14233398438,135,81,32,20,0.246913580246914,0.237037037037037
18321_a,2248.78463745117,-2224.14233398438,154,81,32,20,0.246913580246914,0.207792207792208
18321_a,2248.78463745117,-2174.14233398438,157,68,19,13,0.191176470588235,0.121019108280255
18321_a,2298.78463745117,-2324.14233398438,76,85,25,18,0.211764705882353,0.328947368421053
18321_a,2298.78463745117,-2274.14233398438,102,100,32,20,0.2,0.313725490196078
18321_a,2298.78463745117,-2224.14233398438,119,109,35,23,0.211009174311927,0.294117647058824
18321_a,2298.78463745117,-2174.14233398438,136,95,23,16,0.168421052631579,0.169117647058824
18321_a,2298.78463745117,-2124.14233398438,164,49,21,12,0.244897959183673,0.128048780487805
18321_a,2348.78463745117,-2324.14233398438,64,71,18,13,0.183098591549296,0.28125
18321_a,2348.78463745117,-2274.14233398438,85,95,20,15,0.157894736842105,0.235294117647059
18321_a,2348.78463745117,-2224.14233398438,107,120,23,20,0.166666666666667,0.214953271028037
18321_a,2348.78463745117,-2174.14233398438,127,112,19,19,0.169642857142857,0.149606299212598
