sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
18321_a,2448.78463745117,-2274.14233398438,68,58,25,0.431034482758621
18321_a,2448.78463745117,-2224.14233398438,85,88,36,0.409090909090909
18321_a,2448.78463745117,-2174.14233398438,108,86,40,0.465116279069768
18321_a,2448.78463745117,-2124.14233398438,113,77,39,0.506493506493507
18321_a,2448.78463745117,-2074.14233398438,130,64,31,0.484375
18321_a,2448.78463745117,-2024.14233398438,148,40,25,0.625
18321_a,2498.78463745117,-2274.14233398438,71,32,13,0.40625
18321_a,2498.78463745117,-2224.14233398438,83,62,22,0.354838709677419
18321_a,2498.78463745117,-2174.14233398438,109,66,31,0.46969696969697
18321_a,2498.78463745117,-2124.14233398438,111,65,30,0.461538461538462
18321_a,2498.78463745117,-2074.14233398438,121,63,24,0.380952380952381
18321_a,2498.78463745117,-2024.14233398438,127,41,23,0.560975609756098
18321_a,2548.78463745117,-2224.14233398438,104,32,8,0.25
18321_a,2548.78463745117,-2174.14233398438,123,37,21,0.567567567567568
18321_a,2548.78463745117,-2124.14233398438,123,38,22,0.578947368421053
18321_a,2548.78463745117,-2074.14233398438,124,41,21,0.51219512195122
18321_a,2548.78463745117,-2024.14233398438,106,33,21,0.636363636363636
18321_a,5898.78463745117,-1124.14233398438,130,30,13,0.433333333333333
18321_a,5898.78463745117,-1074.14233398438,102,31,13,0.419354838709677
18321_a,5898.78463745117,-1024.14233398437,90,40,16,0.4
18321_a,5948.78463745117,-1124.14233398438,123,35,21,0.6
18321_a,5948.78463745117,-1074.14233398438,92,36,21,0.583333333333333
18321_a,5948.78463745117,-1024.14233398437,71,47,24,0.51063829787234
18321_a,5998.78463745117,-1124.14233398438,117,34,20,0.588235294117647
18321_a,5998.78463745117,-1074.14233398438,82,35,20,0.571428571428571
18321_a,6048.78463745117,-1124.14233398438,138,30,17,0.566666666666667
18321_a,6048.78463745117,-1074.14233398438,109,34,19,0.558823529411765
18321_a,6048.78463745117,-1024.14233398437,71,49,22,0.448979591836735
18321_a,6098.78463745117,-1024.14233398437,104,33,12,0.363636363636364
