sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
54023_b,1943.95310974121,-9983.63305664063,80,38,28,0.736842105263158
54023_b,1943.95310974121,-9933.63305664063,85,30,18,0.6
54023_b,1993.95310974121,-9933.63305664063,64,66,18,0.272727272727273
54023_b,1993.95310974121,-9883.63305664063,69,58,15,0.258620689655172
54023_b,1993.95310974121,-9833.63305664063,66,52,11,0.211538461538462
54023_b,2343.95310974121,-10333.6330566406,60,56,34,0.607142857142857
54023_b,2343.95310974121,-10283.6330566406,66,67,34,0.507462686567164
54023_b,2393.95310974121,-10333.6330566406,63,33,24,0.727272727272727
54023_b,2393.95310974121,-10283.6330566406,78,37,26,0.702702702702703
54023_b,2393.95310974121,-10233.6330566406,69,46,32,0.695652173913044
54023_b,2393.95310974121,-10183.6330566406,70,40,29,0.725
54023_b,2393.95310974121,-10133.6330566406,61,49,39,0.795918367346939
54023_b,2443.95310974121,-10233.6330566406,74,30,24,0.8
54023_b,2893.95310974121,-10083.6330566406,73,37,20,0.540540540540541
54023_b,2893.95310974121,-10033.6330566406,62,58,32,0.551724137931035
54023_b,2943.95310974121,-10083.6330566406,69,48,25,0.520833333333333
54023_b,2993.95310974121,-10133.6330566406,62,39,34,0.871794871794872
54023_b,3043.95310974121,-10133.6330566406,78,38,35,0.921052631578947
54023_b,3043.95310974121,-10083.6330566406,75,59,40,0.677966101694915
54023_b,3093.95310974121,-10133.6330566406,82,32,32,1
54023_b,3093.95310974121,-10083.6330566406,79,46,40,0.869565217391304
54023_b,3143.95310974121,-10133.6330566406,74,30,29,0.966666666666667
54023_b,3143.95310974121,-10083.6330566406,73,44,37,0.840909090909091
54023_b,3143.95310974121,-9583.63305664063,60,31,16,0.516129032258065
54023_b,3193.95310974121,-10083.6330566406,75,41,37,0.902439024390244
54023_b,3193.95310974121,-9583.63305664063,66,31,16,0.516129032258065
54023_b,3243.95310974121,-10133.6330566406,64,32,23,0.71875
54023_b,3243.95310974121,-10083.6330566406,64,39,30,0.769230769230769
54023_b,4943.95310974121,-9533.63305664062,75,31,24,0.774193548387097
54023_b,5243.95310974121,-9083.63305664063,90,32,11,0.34375
54023_b,5243.95310974121,-9033.63305664062,78,36,20,0.555555555555556
54023_b,5243.95310974121,-8983.63305664063,67,38,21,0.552631578947369
54023_b,5293.95310974121,-9233.63305664063,94,48,12,0.25
54023_b,5293.95310974121,-9183.63305664063,84,64,27,0.421875
54023_b,5293.95310974121,-9133.63305664062,72,85,25,0.294117647058824
54023_b,5293.95310974121,-9083.63305664063,68,88,20,0.227272727272727
54023_b,5343.95310974121,-9283.63305664062,86,39,25,0.641025641025641
54023_b,5343.95310974121,-9233.63305664063,67,81,25,0.308641975308642
54023_b,5393.95310974121,-9333.63305664063,91,32,18,0.5625
54023_b,5393.95310974121,-9283.63305664062,82,58,27,0.46551724137931
54023_b,5393.95310974121,-9233.63305664063,61,117,44,0.376068376068376
54023_b,5443.95310974121,-9333.63305664063,82,34,20,0.588235294117647
54023_b,5443.95310974121,-9283.63305664062,62,68,30,0.441176470588235
54023_b,5493.95310974121,-9333.63305664063,88,34,20,0.588235294117647
54023_b,5493.95310974121,-9283.63305664062,64,68,30,0.441176470588235
54023_b,5543.95310974121,-9283.63305664062,75,46,15,0.326086956521739
54023_b,5593.95310974121,-9283.63305664062,83,34,8,0.235294117647059
54023_b,5593.95310974121,-9233.63305664063,68,98,31,0.316326530612245
54023_b,5643.95310974121,-9233.63305664063,82,63,10,0.158730158730159
54023_b,5693.95310974121,-9233.63305664063,104,34,7,0.205882352941176
54023_b,5693.95310974121,-9183.63305664063,79,69,26,0.376811594202899
54023_b,5743.95310974121,-9183.63305664063,86,44,26,0.590909090909091
54023_b,5743.95310974121,-9133.63305664062,62,70,26,0.371428571428571
54023_b,5793.95310974121,-9133.63305664062,64,41,9,0.219512195121951
54023_b,5843.95310974121,-9133.63305664062,65,31,9,0.290322580645161
56784_c,13300.40965271,-9430.37451171875,66,32,17,0.53125
56784_c,13350.40965271,-9580.37451171875,137,32,18,0.5625
56784_c,13350.40965271,-9530.37451171875,111,38,22,0.578947368421053
56784_c,13350.40965271,-9480.37451171875,88,47,28,0.595744680851064
56784_c,13400.40965271,-10130.3745117188,120,35,26,0.742857142857143
56784_c,13400.40965271,-10080.3745117188,112,40,30,0.75
56784_c,13400.40965271,-10030.3745117188,112,32,19,0.59375
56784_c,13400.40965271,-9980.37451171875,123,34,16,0.470588235294118
56784_c,13400.40965271,-9930.37451171875,138,39,17,0.435897435897436
56784_c,13400.40965271,-9880.37451171875,145,38,15,0.394736842105263
56784_c,13400.40965271,-9830.37451171875,146,37,10,0.27027027027027
56784_c,13400.40965271,-9780.37451171875,159,33,11,0.333333333333333
56784_c,13400.40965271,-9730.37451171875,158,31,12,0.387096774193548
56784_c,13400.40965271,-9680.37451171875,154,30,13,0.433333333333333
56784_c,13400.40965271,-9580.37451171875,106,35,17,0.485714285714286
56784_c,13400.40965271,-9530.37451171875,96,38,21,0.552631578947369
56784_c,13400.40965271,-9480.37451171875,84,47,30,0.638297872340426
56784_c,13400.40965271,-9430.37451171875,67,53,35,0.660377358490566
56784_c,13450.40965271,-10180.3745117188,124,31,21,0.67741935483871
