sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,2298.78463745117,-2074.14233398438,180,24,10,0.0555555555555556,10
18321_a,2298.78463745117,-2024.14233398438,194,9,3,0.0154639175257732,3
18321_a,2348.78463745117,-2424.14233398438,30,11,8,0.266666666666667,8
18321_a,2348.78463745117,-2374.14233398438,42,47,10,0.238095238095238,10
18321_a,2348.78463745117,-2324.14233398438,64,71,18,0.28125,18
18321_a,2348.78463745117,-2274.14233398438,85,95,20,0.235294117647059,20
18321_a,2348.78463745117,-2224.14233398438,107,120,23,0.214953271028037,23
18321_a,2348.78463745117,-2174.14233398438,127,112,19,0.149606299212598,19
18321_a,2348.78463745117,-2124.14233398438,149,76,18,0.120805369127517,18
18321_a,2348.78463745117,-2074.14233398438,169,52,9,0.0532544378698225,9
18321_a,2348.78463745117,-2024.14233398438,193,28,8,0.0414507772020725,8
18321_a,2398.78463745117,-2374.14233398438,35,36,7,0.2,7
18321_a,2398.78463745117,-2324.14233398438,55,60,14,0.254545454545455,14
18321_a,2398.78463745117,-2274.14233398438,74,85,17,0.22972972972973,17
18321_a,2398.78463745117,-2224.14233398438,97,113,20,0.206185567010309,20
18321_a,2398.78463745117,-2174.14233398438,118,107,19,0.161016949152542,19
18321_a,2398.78463745117,-2124.14233398438,128,81,19,0.1484375,19
18321_a,2398.78463745117,-2074.14233398438,150,59,11,0.0733333333333333,11
18321_a,2398.78463745117,-2024.14233398438,171,35,11,0.064327485380117,11
18321_a,2398.78463745117,-1974.14233398438,186,7,6,0.032258064516129,6
18321_a,2398.78463745117,-1924.14233398438,193,5,8,0.0414507772020725,8
18321_a,2448.78463745117,-2374.14233398438,33,17,6,0.181818181818182,6
18321_a,2448.78463745117,-2324.14233398438,53,33,7,0.132075471698113,7
18321_a,2448.78463745117,-2274.14233398438,68,58,10,0.147058823529412,10
18321_a,2448.78463745117,-2224.14233398438,85,88,15,0.176470588235294,15
18321_a,2448.78463745117,-2174.14233398438,108,86,19,0.175925925925926,19
18321_a,2448.78463745117,-2124.14233398438,113,77,21,0.185840707964602,21
18321_a,2448.78463745117,-2074.14233398438,130,64,21,0.161538461538462,21
18321_a,2448.78463745117,-2024.14233398438,148,40,21,0.141891891891892,21
18321_a,2448.78463745117,-1974.14233398438,166,11,14,0.0843373493975904,14
18321_a,2448.78463745117,-1924.14233398438,168,7,11,0.0654761904761905,11
18321_a,2448.78463745117,-1874.14233398438,174,6,12,0.0689655172413793,12
18321_a,2498.78463745117,-2324.14233398438,53,8,3,0.0566037735849057,3
18321_a,2498.78463745117,-2274.14233398438,71,32,5,0.0704225352112676,5
18321_a,2498.78463745117,-2224.14233398438,83,62,9,0.108433734939759,9
18321_a,2498.78463745117,-2174.14233398438,109,66,17,0.155963302752294,17
18321_a,2498.78463745117,-2124.14233398438,111,65,19,0.171171171171171,19
18321_a,2498.78463745117,-2074.14233398438,121,63,19,0.15702479338843,19
18321_a,2498.78463745117,-2024.14233398438,127,41,20,0.15748031496063,20
18321_a,2498.78463745117,-1974.14233398438,141,12,14,0.099290780141844,14
18321_a,2498.78463745117,-1924.14233398438,140,8,11,0.0785714285714286,11
18321_a,2498.78463745117,-1874.14233398438,150,7,12,0.08,12
18321_a,2548.78463745117,-2274.14233398438,90,11,2,0.0222222222222222,2
18321_a,2548.78463745117,-2224.14233398438,104,32,4,0.0384615384615385,4
18321_a,2548.78463745117,-2174.14233398438,123,37,12,0.0975609756097561,12
