sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
54023_b,1443.95310974121,-10083.6330566406,106,9,22,0.207547169811321,22
54023_b,1443.95310974121,-10033.6330566406,69,9,21,0.304347826086957,21
54023_b,1443.95310974121,-9983.63305664063,34,6,10,0.294117647058824,10
54023_b,1493.95310974121,-11033.6330566406,53,6,5,0.0943396226415094,5
54023_b,1493.95310974121,-10983.6330566406,64,11,10,0.15625,10
54023_b,1493.95310974121,-10933.6330566406,61,12,11,0.180327868852459,11
54023_b,1493.95310974121,-10883.6330566406,62,11,7,0.112903225806452,7
54023_b,1493.95310974121,-10833.6330566406,69,13,10,0.144927536231884,10
54023_b,1493.95310974121,-10783.6330566406,85,13,22,0.258823529411765,22
54023_b,1493.95310974121,-10733.6330566406,98,12,24,0.244897959183673,24
54023_b,1493.95310974121,-10683.6330566406,115,15,27,0.234782608695652,27
54023_b,1493.95310974121,-10633.6330566406,115,25,31,0.269565217391304,31
54023_b,1493.95310974121,-10583.6330566406,111,30,34,0.306306306306306,34
54023_b,1493.95310974121,-10533.6330566406,112,33,29,0.258928571428571,29
54023_b,1493.95310974121,-10483.6330566406,117,30,23,0.196581196581197,23
54023_b,1493.95310974121,-10433.6330566406,124,27,20,0.161290322580645,20
54023_b,1493.95310974121,-10383.6330566406,147,17,16,0.108843537414966,16
54023_b,1493.95310974121,-10333.6330566406,176,10,14,0.0795454545454545,14
54023_b,1493.95310974121,-10183.6330566406,183,6,19,0.103825136612022,19
54023_b,1493.95310974121,-10133.6330566406,147,8,19,0.129251700680272,19
54023_b,1493.95310974121,-10083.6330566406,105,9,18,0.171428571428571,18
54023_b,1493.95310974121,-10033.6330566406,70,9,19,0.271428571428571,19
54023_b,1493.95310974121,-9983.63305664063,35,7,9,0.257142857142857,9
54023_b,1543.95310974121,-10983.6330566406,38,9,8,0.210526315789474,8
54023_b,1543.95310974121,-10933.6330566406,38,10,9,0.236842105263158,9
