cluster_from,cluster_to,AIH,irHepatitis,diff
2,17,-0.811171429624642,-0.454213354287625,0.356958075337018
2,6,-1.72348070064758,-2.07469000275981,-0.351209302112229
3,21,0,-0.348392029920763,-0.348392029920763
6,8,-2.85507988980608,-2.50858211178153,0.346497778024543
12,19,-2.86807210680316,-2.52796848544851,0.340103621354647
10,18,-0.625915047370348,-0.955458903326573,-0.329543855956225
16,4,-0.733740631933949,-0.407242537413702,0.326498094520247
7,3,-1.39894622193619,-1.07314409886531,0.325802123070881
18,4,-1.5728573201577,-1.24784873759205,0.325008582565652
8,11,-2.91743219936181,-3.23197551489684,-0.31454331553503
4,13,-0.892317098268017,-0.583356082098099,0.308961016169917
16,12,-0.368354879794884,-0.674820994521229,-0.306466114726345
1,9,-2.49666604229153,-2.19158969786185,0.305076344429678
16,21,0,-0.30187014759404,-0.30187014759404
21,16,0,-0.30187014759404,-0.30187014759404
2,12,-1.37153890260835,-1.07417533274492,0.297363569863429
5,11,-1.56002802962765,-1.85665623148589,-0.296628201858235
16,14,-0.12843276206751,0.166563462852244,0.294996224919753
11,10,-1.04028932831089,-1.33524385720229,-0.294954528891405
3,17,-1.04566040465237,-0.753256428447835,0.292403976204532
17,17,0.892931155091328,1.18351495210719,0.290583797015865
10,3,-1.45390120640775,-1.73716148609351,-0.283260279685758
15,15,0.600481225859704,0.318747899237317,-0.281733326622386
11,13,-2.97746500674916,-2.69577743225599,0.281687574493179
3,12,-2.05450365875458,-1.77730127559008,0.277202383164499
5,14,-0.80974070382771,-0.535277823726839,0.274462880100871
7,4,-0.580072620461162,-0.311912314273624,0.268160306187538
13,12,0.43626275271444,0.169249949045138,-0.267012803669302
12,4,-1.10017966200687,-0.835822673585689,0.264356988421183
11,1,-0.901821877649216,-1.16193275416889,-0.260110876519678
11,8,-3.76987501094795,-3.51208343408957,0.257791576858376
14,16,-0.473261259064951,-0.216156316153872,0.257104942911079
6,11,-0.477539131470747,-0.223762870197649,0.253776261273098
19,20,-0.864033959770917,-0.61979202145714,0.244241938313778
18,21,0,-0.24220232634034,-0.24220232634034
21,18,0,-0.24220232634034,-0.24220232634034
7,14,-0.0771017563659035,0.162699927956638,0.239801684322541
10,5,-1.52263447719651,-1.76032149120873,-0.237687014012217
18,2,-1.19858462411698,-1.4358840483795,-0.237299424262527
21,3,0,0.236570470800393,0.236570470800393
20,17,-0.856136464202197,-0.61979202145714,0.236344442745058
6,2,-1.36091062126288,-1.59211717264472,-0.231206551381848
5,12,-0.539859089675515,-0.763177451008994,-0.223318361333479
14,19,-1.75585545379256,-1.53364755695101,0.222207896841546
